Date,Team,Team Location,Team Score,Opponent,Opponent Score,Opponent Location,Neutral Site,Team Result,Team Differential,Opponent Differential,Game Type
11/14/2014,Liberty,Home,69,Randolph Col,45,Away,,Win,-5.53,0.00,Non Division 1
11/14/2014,Randolph Col,Away,45,Liberty,69,Home,,Loss,0.00,-5.53,Non Division 1
11/14/2014,Valparaiso,Home,90,ETSU,76,Away,,Win,10.55,2.03,Division 1
11/14/2014,ETSU,Away,76,Valparaiso,90,Home,,Loss,2.03,10.55,Division 1
11/14/2014,Texas Tech,Home,71,Loyola MD,59,Away,,Win,-3.44,-7.37,Division 1
11/14/2014,Loyola MD,Away,59,Texas Tech,71,Home,,Loss,-7.37,-3.44,Division 1
11/14/2014,Kansas St,Home,98,Southern Utah,68,Away,,Win,-0.81,-4.66,Division 1
11/14/2014,Southern Utah,Away,68,Kansas St,98,Home,,Loss,-4.66,-0.81,Division 1
11/14/2014,Loyola-Chicago,Home,71,Rockhurst,58,Away,,Win,1.72,0.00,Non Division 1
11/14/2014,Rockhurst,Away,58,Loyola-Chicago,71,Home,,Loss,0.00,1.72,Non Division 1
11/14/2014,NC A&T,Home,91,Greensboro,61,Away,,Win,-7.13,0.00,Non Division 1
11/14/2014,Greensboro,Away,61,NC A&T,91,Home,,Loss,0.00,-7.13,Non Division 1
11/14/2014,Norfolk St,Home,81,Pfeiffer,43,Away,,Win,4.15,0.00,Non Division 1
11/14/2014,Pfeiffer,Away,43,Norfolk St,81,Home,,Loss,0.00,4.15,Non Division 1
11/14/2014,Missouri St,Home,64,E Illinois,53,Away,,Win,-4.48,-0.97,Division 1
11/14/2014,E Illinois,Away,53,Missouri St,64,Home,,Loss,-0.97,-4.48,Division 1
11/14/2014,Alabama St,Home,105,Auburn M'gomery,64,Away,,Win,5.28,0.00,Non Division 1
11/14/2014,Auburn M'gomery,Away,64,Alabama St,105,Home,,Loss,0.00,5.28,Non Division 1
11/14/2014,Michigan St,Away,64,Navy,59,Home,,Win,8.47,-3.34,Division 1
11/14/2014,Navy,Home,59,Michigan St,64,Away,,Loss,-3.34,8.47,Division 1
11/14/2014,Louisiana Tech,Away,85,Southern Univ,76,Home,,Win,8.06,0.94,Division 1
11/14/2014,Southern Univ,Home,76,Louisiana Tech,85,Away,,Loss,0.94,8.06,Division 1
11/14/2014,Missouri KC,Away,69,Missouri,61,Home,,Win,-1.15,-7.44,Division 1
11/14/2014,Missouri,Home,61,Missouri KC,69,Away,,Loss,-7.44,-1.15,Division 1
11/14/2014,Incarnate Word,Home,89,UT Tyler,49,Away,,Win,4.75,0.00,Non Division 1
11/14/2014,UT Tyler,Away,49,Incarnate Word,89,Home,,Loss,0.00,4.75,Non Division 1
11/14/2014,Illinois,Home,80,Ga Southern,71,Away,,Win,6.31,7.97,Division 1
11/14/2014,Ga Southern,Away,71,Illinois,80,Home,,Loss,7.97,6.31,Division 1
11/14/2014,Wisconsin,Home,62,N Kentucky,31,Away,,Win,15.76,1.27,Division 1
11/14/2014,N Kentucky,Away,31,Wisconsin,62,Home,,Loss,1.27,15.76,Division 1
11/14/2014,Notre Dame,Home,82,Binghamton,39,Away,,Win,13.18,-8.72,Division 1
11/14/2014,Binghamton,Away,39,Notre Dame,82,Home,,Loss,-8.72,13.18,Division 1
11/14/2014,Loy Marymount,Home,76,SE Missouri St,66,Away,,Win,-8.39,0.77,Division 1
11/14/2014,SE Missouri St,Away,66,Loy Marymount,76,Home,,Loss,0.77,-8.39,Division 1
11/14/2014,Lipscomb,Home,91,Berry,70,Away,,Win,-2.90,0.00,Non Division 1
11/14/2014,Berry,Away,70,Lipscomb,91,Home,,Loss,0.00,-2.90,Non Division 1
11/14/2014,Creighton,Home,104,Cent Arkansas,77,Away,,Win,0.42,-16.90,Division 1
11/14/2014,Cent Arkansas,Away,77,Creighton,104,Home,,Loss,-16.90,0.42,Division 1
11/14/2014,Col Charleston,Away,75,Furman,40,Home,,Win,-5.97,-4.45,Division 1
11/14/2014,Furman,Home,40,Col Charleston,75,Away,,Loss,-4.45,-5.97,Division 1
11/14/2014,UT San Antonio,Home,92,Huston-Tillot,74,Away,,Win,0.30,0.00,Non Division 1
11/14/2014,Huston-Tillot,Away,74,UT San Antonio,92,Home,,Loss,0.00,0.30,Non Division 1
11/14/2014,TX Pan American,Home,88,Wayland,80,Away,,Win,-8.13,0.00,Non Division 1
11/14/2014,Wayland,Away,80,TX Pan American,88,Home,,Loss,0.00,-8.13,Non Division 1
11/14/2014,Colorado,Home,65,Drexel,48,Away,,Win,0.81,-4.77,Division 1
11/14/2014,Drexel,Away,48,Colorado,65,Home,,Loss,-4.77,0.81,Division 1
11/14/2014,Arizona,Home,78,Mt St Mary's,55,Away,,Win,17.82,-1.73,Division 1
11/14/2014,Mt St Mary's,Away,55,Arizona,78,Home,,Loss,-1.73,17.82,Division 1
11/14/2014,Kentucky,Home,85,Grand Canyon,45,Away,,Win,20.94,0.48,Division 1
11/14/2014,Grand Canyon,Away,45,Kentucky,85,Home,,Loss,0.48,20.94,Division 1
11/14/2014,North Carolina,Home,76,NC Central,60,Away,,Win,9.51,14.41,Division 1
11/14/2014,NC Central,Away,60,North Carolina,76,Home,,Loss,14.41,9.51,Division 1
11/14/2014,Akron,Home,74,UMBC,57,Away,,Win,5.11,-11.03,Division 1
11/14/2014,UMBC,Away,57,Akron,74,Home,,Loss,-11.03,5.11,Division 1
11/14/2014,Stetson,Home,75,Edward Waters,61,Away,,Win,-7.29,0.00,Non Division 1
11/14/2014,Edward Waters,Away,61,Stetson,75,Home,,Loss,0.00,-7.29,Non Division 1
11/14/2014,Hofstra,Home,94,Jacksonville,61,Away,,Win,8.61,-7.66,Division 1
11/14/2014,Jacksonville,Away,61,Hofstra,94,Home,,Loss,-7.66,8.61,Division 1
11/14/2014,Georgia St,Home,115,TN Temple,55,Away,,Win,9.59,0.00,Non Division 1
11/14/2014,TN Temple,Away,55,Georgia St,115,Home,,Loss,0.00,9.59,Non Division 1
11/14/2014,TAM C. Christi,Home,73,Our Lady Lake,58,Away,,Win,2.25,0.00,Non Division 1
11/14/2014,Our Lady Lake,Away,58,TAM C. Christi,73,Home,,Loss,0.00,2.25,Non Division 1
11/14/2014,SF Austin,Home,75,Mississippi Col,49,Away,,Win,14.88,0.00,Non Division 1
11/14/2014,Mississippi Col,Away,49,SF Austin,75,Home,,Loss,0.00,14.88,Non Division 1
